SQL Text,Exec Count,Calls,DB2 SSID,Plan,Program,Current Schema,Section,Collection,Contoken,Package Version,Elapsed,%Elap,AvgX Elapsed,CPU,%CPU,AvgX Cpu,<%CPU>,Delay,%Delay,AvgX Delays,<%DLY>,<%UAT>,Getpages,AvgX Getpages,zIIP CPU,<%zIIP>,Avg CPU,Avg Elapsed,Avg Delay,Avg Getpages,Accel Elig Elapsed,Accel Elig CPU,Accel Elig zIIP
"INSERT INTO ABPOBJSTAT ( ABPID , BLOCKERID , DBNAME , SPNAME , PART , CHAR6 , OS",12,12,QB1N,ABP22QAP,ABPRBTHD,ABPSTC,4,ABP22QA,1A8DE62C05AE3A1D,PI98734,0.003784,0.01,0.000315,0.001169,0.26,0.000097,30.89,0.00264,0.01,0.00022,69.78,-0.67,96,8,0,0,0.000097,0.000315,0.00022,8,0,0,0
SELECT CURRENT TIMESTAMP INTO : H FROM SYSIBM . SYSTABLES WHERE CREATOR = 'SYSIB,12,12,QB1N,ABP22QAP,ABPRBTHD,ABPSTC,2,ABP22QA,1A8DE62C05AE3A1D,PI98734,0.005913,0.02,0.000492,0.000932,0.2,0.000077,15.77,0.004981,0.01,0.000415,84.23,0,26,2.17,0,0,0.000077,0.000492,0.000415,2.17,0,0,0
"DECLARE METR CURSOR FOR SELECT NAME , COLTYPE , LENGTH , LENGTH2 , COLNO , SCALE",12,910,QB1N,CQMPLN33,CQM@WDB2,TS6394,1,CQMQB1N,1AA5F2F7027427A5,PI98797,0.004809,0.01,0.0004,0.002614,0.57,0.000217,54.36,0.002019,0.01,0.000168,41.99,3.65,83,6.92,0,0,0.000002,0.000005,0.000002,0.09,0,0,0
"SELECT OBID , ENCODING_SCHEME INTO : H , : H FROM SYSIBM . SYSTABLES WHERE CREAT",10,10,QB1N,CQMPLN33,CQM@WDB2,TS6394,3,CQMQB1N,1AA5F2F7027427A5,PI98797,0.006109,0.02,0.00061,0.00047,0.1,0.000047,7.7,0.005659,0.02,0.000565,92.63,-0.33,28,2.8,0,0,0.000047,0.00061,0.000565,2.8,0,0,0
DELETE FROM SYSAUTO.UTILITYRUNS_HISTORY,8,24,,,,TS5465,0,,N/A,,0.061632,0.17,0.007704,0.004016,0.88,0.000502,6.52,0.055705,0.16,0.006963,90.38,3.1,296,37,0,0,0.000167,0.002568,0.002321,12.33,0,0,0
"SELECT UTILITY_NAME, CAST(OBJECT_NAME AS CHAR(10)) AS OBJECT_NAME, CAST(RECORDS ",8,40,,,,TS5465,0,,N/A,,0.004408,0.01,0.000551,0.001831,0.4,0.000228,41.55,0.002418,0.01,0.000302,54.86,3.59,8,1,0,0,0.000045,0.00011,0.00006,0.2,0,0,0
SELECT * FROM ABPUSER.ABPLDTB5,8,216,,,,TS5465,0,,N/A,,0.038525,0.11,0.004815,0.008601,1.88,0.001075,22.33,0.001287,0,0.00016,3.34,74.33,432,54,0.000544,5.95,0.000039,0.000178,0.000005,2,0,0,0
SELECT * FROM ABPUSER.ABPLDTB6,8,240,,,,TS5465,0,,N/A,,0.060443,0.17,0.007555,0.019425,4.26,0.002428,32.14,0.013049,0.04,0.001631,21.59,46.27,496,62,0.001703,8.06,0.00008,0.000251,0.000054,2.07,0,0,0
"INSERT INTO ABPUSER.ABPLDTB5 VALUES('DEF3V', 'ADVGG', 'KJH')",8,24,,,,TS5465,0,,N/A,,0.002891,0.01,0.000361,0.002149,0.47,0.000268,74.33,0,0,0,0,25.67,304,38,0,0,0.000089,0.00012,0,12.67,0,0,0
"INSERT INTO ABPUSER.ABPLDTB5 VALUES('DEF3HNM', 'ADVGG', 'KJH')",8,24,,,,TS5465,0,,N/A,,0.004328,0.01,0.000541,0.003148,0.69,0.000393,72.73,0,0,0,0,27.27,304,38,0,0,0.000131,0.00018,0,12.67,0,0,0
"INSERT INTO ABPUSER.ABPLDTB5 VALUES('DEF34', 'ADVGG', 'KJH')",8,24,,,,TS5465,0,,N/A,,0.204558,0.56,0.025569,0.003481,0.76,0.000435,1.7,0.201046,0.57,0.02513,98.28,0.02,360,45,0,0,0.000145,0.008523,0.008376,15,0,0,0
"INSERT INTO ABPUSER.ABPLDTB6 VALUES('DEF3NM' , 'ADVGG' , '2010-03-21','09.25.08'",8,24,,,,TS5465,0,,N/A,,0.00292,0.01,0.000365,0.002273,0.5,0.000284,77.84,0,0,0,0,22.16,304,38,0,0,0.000094,0.000121,0,12.67,0,0,0
"INSERT INTO ABPUSER.ABPLDTB6 VALUES('DEF3OLMABT', 'ADVGG', '2010-03-20','09.25.0",8,24,,,,TS5465,0,,N/A,,0.002328,0.01,0.000291,0.002068,0.45,0.000258,88.87,0,0,0,0,11.13,304,38,0,0,0.000086,0.000097,0,12.67,0,0,0
"INSERT INTO ABPUSER.ABPLDTB6 VALUES('IOUT' , 'Y' , '2010-03-19','09.25.08', 'IOU",8,24,,,,TS5465,0,,N/A,,0.004228,0.01,0.000528,0.002524,0.55,0.000315,59.71,0,0,0,0,40.29,304,38,0,0,0.000105,0.000176,0,12.67,0,0,0
"INSERT INTO ABPUSER.ABPLDTB6 VALUES('DEF3V' , 'ADVGG', '2010-03-19','09.25.08', ",8,24,,,,TS5465,0,,N/A,,0.002812,0.01,0.000351,0.00221,0.48,0.000276,78.59,0,0,0,0,21.41,304,38,0,0,0.000092,0.000117,0,12.67,0,0,0
"INSERT INTO ABPUSER.ABPLDTB6 VALUES('DEF3HNM' , 'ADVGG', '2010-03-18','09.25.08'",8,24,,,,TS5465,0,,N/A,,0.004813,0.01,0.000601,0.003325,0.73,0.000415,69.09,0,0,0,0,30.91,304,38,0,0,0.000138,0.0002,0,12.67,0,0,0
"INSERT INTO ABPUSER.ABPLDTB6 VALUES('DEF34' , 'ADVGG', '2010-03-17','09.25.08', ",8,24,,,,TS5465,0,,N/A,,0.166903,0.46,0.020862,0.00806,1.77,0.001007,4.83,0.153638,0.43,0.019204,92.05,3.12,400,50,0,0,0.000335,0.006954,0.006401,16.67,0,0,0
CREATE INDEX ABPUSER.ABPLDIX5 ON ABPUSER.ABPLDTB5 (NAME1 ASC) USING STOGROUP SYS,8,24,,,,TS5465,0,,N/A,,0.487537,1.35,0.060942,0.011144,2.44,0.001393,2.29,0.4396,1.24,0.05495,90.17,7.55,1240,155,0,0,0.000464,0.020314,0.018316,51.67,0,0,0
CREATE INDEX ABPUSER.ABPLDIX6 ON ABPUSER.ABPLDTB6 (NAME1 ASC) USING STOGROUP SYS,8,24,,,,TS5465,0,,N/A,,0.381365,1.05,0.04767,0.013682,3,0.00171,3.59,0.365223,1.03,0.045652,95.77,0.64,1321,165.12,0,0,0.00057,0.01589,0.015217,55.04,0,0,0
"CREATE TABLE ABPUSER.ABPLDTB5 ( NAME1 VARCHAR(10), NAME5 CHAR(12), NAME4 LONG VA",8,24,,,,TS5465,0,,N/A,,0.015033,0.04,0.001879,0.005719,1.25,0.000714,38.05,0.007917,0.02,0.000989,52.67,9.29,808,101,0,0,0.000238,0.000626,0.000329,33.67,0,0,0
"CREATE TABLE ABPUSER.ABPLDTB6 ( NAME1 VARCHAR(10), NAME5 CHAR(12), NAME2 DATE NO",8,24,,,,TS5465,0,,N/A,,0.119621,0.33,0.014952,0.010585,2.32,0.001323,8.85,0.107785,0.3,0.013473,90.11,1.05,896,112,0,0,0.000441,0.004984,0.004491,37.33,0,0,0
CREATE TABLESPACE ABPRSSG1 IN ABPRSLD1 USING STOGROUP SYSDEFLT PRIQTY 256 SECQTY,8,24,,,,TS5465,0,,N/A,,0.333527,0.92,0.04169,0.008107,1.78,0.001013,2.43,0.324067,0.91,0.040508,97.16,0.41,648,81,0,0,0.000337,0.013896,0.013502,27,0,0,0
DELETE FROM ABPUSER.ABPLDTB6 WHERE NAME4 = 'VVB',4,12,,,,TS5465,0,,N/A,,0.114096,0.32,0.028524,0.008389,1.84,0.002097,7.35,0.102121,0.29,0.02553,89.5,3.14,268,67,0,0,0.000699,0.009508,0.00851,22.33,0,0,0
COMMIT                                                                          ,4,4,QB1N,ABP22QAP,ABPRUSQA,ABPSTC,0,ABP22QA,1A19CB8B163F4B03,,0.000051,0,0.000012,0.000038,0.01,0.000009,74.06,0,0,0,0,25.94,0,0,0,0,0.000009,0.000012,0,0,0,0,0
"SELECT HASHKEYCOLUMNS , PARTKEYCOLNUM , DBNAME , TSNAME INTO : H , : H , : H , :",4,4,QB1N,ABP22QAP,ABPRUSQA,ABPSTC,3,ABP22QA,1A19CB8B163F4B03,PI61658,0.000132,0,0.000033,0.000131,0.03,0.000032,99.66,0,0,0,0,0.34,14,3.5,0,0,0.000032,0.000033,0,3.5,0,0,0
"DECLARE REL_CURSOR CURSOR FOR SELECT DISTINCT X . CREATOR , X . NAME , R . RELNA",4,12,QB1N,ABP22QAP,ABPRUSQL,ABPSTC,16,ABP22QA,1A5DAE3F179CE183,PI84635,0.000254,0,0.000063,0.000248,0.05,0.000062,97.59,0,0,0,0,2.41,32,8,0,0,0.00002,0.000021,0,2.67,0,0,0
SELECT COUNT ( * ) INTO : H FROM SYSIBM . SYSRELS L WHERE L . CREATOR = : H AND ,4,4,QB1N,ABP22QAP,ABPRUSQL,ABPSTC,64,ABP22QA,1A5DAE3F179CE183,PI84635,0.005013,0.01,0.001253,0.000651,0.14,0.000162,13,0.004516,0.01,0.001129,90.08,-3.09,40,10,0,0,0.000162,0.001253,0.001129,10,0,0,0
SELECT COUNT ( * ) INTO : H FROM SYSIBM . SYSINDEXES WHERE TBCREATOR = : H AND T,4,4,QB1N,ABP22QAP,ABPRUSQL,ABPSTC,63,ABP22QA,1A5DAE3F179CE183,PI84635,0.000227,0,0.000056,0.000223,0.05,0.000055,98.42,0,0,0,0,1.58,8,2,0,0,0.000055,0.000056,0,2,0,0,0
"SELECT ENCODING_SCHEME , OBID INTO : H , : H FROM SYSIBM . SYSTABLES WHERE CREAT",4,4,QB1N,ABP22QAP,ABPRUSQL,ABPSTC,56,ABP22QA,1A5DAE3F179CE183,PI84635,0.000182,0,0.000045,0.00017,0.04,0.000042,93.49,0,0,0,0,6.51,12,3,0,0,0.000042,0.000045,0,3,0,0,0
"DECLARE TBEEC1 CURSOR FOR SELECT DISTINCT TB . DBID , TB . OBID , TS . PSID , TB",4,16,QB1N,ABP22QAP,ABPRDOBJ,ABPSTC,16,ABP22QA,19F066371E5F6517,PI40393,0.00045,0,0.000112,0.000388,0.09,0.000097,86.3,0,0,0,0,13.7,26,6.5,0,0,0.000024,0.000028,0,1.62,0,0,0
SELECT DISTINCT COUNT ( * ) INTO : H FROM SYSIBM . SYSCOLUMNS WHERE TBCREATOR = ,4,4,QB1N,ABP22QAP,ABPRDFLT,ABPSTC,46,ABP22QA,19F066371933168F,PI40393,0.000795,0,0.000198,0.000151,0.03,0.000037,19.11,0.000671,0,0.000167,84.43,-3.54,20,5,0,0,0.000037,0.000198,0.000167,5,0,0,0
SELECT DISTINCT COUNT ( * ) INTO : H FROM SYSIBM . SYSCOLUMNS WHERE TBCREATOR = ,4,4,QB1N,ABP22QAP,ABPRDFLT,ABPSTC,45,ABP22QA,19F066371933168F,PI40393,0.000837,0,0.000209,0.00016,0.04,0.00004,19.18,0.000708,0,0.000177,84.61,-3.79,20,5,0,0,0.00004,0.000209,0.000177,5,0,0,0
SELECT DISTINCT COUNT ( * ) INTO : H FROM SYSIBM . SYSCOLUMNS WHERE TBCREATOR = ,4,4,QB1N,ABP22QAP,ABPRDFLT,ABPSTC,44,ABP22QA,19F066371933168F,PI40393,0.00208,0.01,0.00052,0.0002,0.04,0.00005,9.65,0.001931,0.01,0.000482,92.83,-2.48,20,5,0,0,0.00005,0.00052,0.000482,5,0,0,0
SELECT DISTINCT COUNT ( * ) INTO : H FROM SYSIBM . SYSCOLUMNS WHERE TBCREATOR = ,4,4,QB1N,ABP22QAP,ABPRDFLT,ABPSTC,43,ABP22QA,19F066371933168F,PI40393,0.003972,0.01,0.000993,0.000604,0.13,0.000151,15.21,0.004995,0.01,0.001248,125.75,-40.96,22,5.5,0,0,0.000151,0.000993,0.001248,5.5,0,0,0
SELECT PARTITIONS INTO : H FROM SYSIBM . SYSTABLESPACE WHERE DBNAME = : H AND NA,4,4,QB1N,ABP22QAP,ABPRUSQL,ABPSTC,60,ABP22QA,1A5DAE3F179CE183,PI84635,0.000329,0,0.000082,0.000274,0.06,0.000068,83.29,0,0,0,0,16.71,12,3,0,0,0.000068,0.000082,0,3,0,0,0
"SELECT DISTINCT D . BQUALIFIER INTO : H FROM SYSIBM . SYSPACKAGE P , SYSIBM . SY",4,4,QB1N,ABP22QAP,ABPRSAUD,ABPSTC,2,ABP22QA,19F066381E55476B,PI40393,0.008888,0.02,0.002222,0.006688,1.47,0.001672,75.25,0.000736,0,0.000184,8.28,16.47,414,103.5,0,0,0.001672,0.002222,0.000184,103.5,0,0,0
"SELECT DISTINCT D . BQUALIFIER INTO : H FROM SYSIBM . SYSPACKAGE P , SYSIBM . SY",4,4,QB1N,ABP22QAP,ABPRSLOG,ABPSTC,2,ABP22QA,19F0663905B6C6D7,PI40393,0.105668,0.29,0.026417,0.01002,2.2,0.002505,9.48,0.065821,0.19,0.016455,62.29,28.23,418,104.5,0,0,0.002505,0.026417,0.016455,104.5,0,0,0
SELECT ENCODING_SCHEME INTO : H FROM SYSIBM . SYSTABLES WHERE NAME = 'SYSCOLUMNS,1,1,QB1N,CQMPLN33,CQM@SETP,TS6394,6,CQMQB1N,1A26D5AF1A3296CF,H238330,0.000183,0,0.000183,0.000059,0.01,0.000059,32.42,0.000124,0,0.000124,67.58,0,3,3,0,0,0.000059,0.000183,0.000124,3,0,0,0
SELECT ENCODING_SCHEME INTO : H FROM SYSIBM . SYSTABLES WHERE NAME = 'SYSTABLES',1,1,QB1N,CQMPLN33,CQM@SETP,TS6394,5,CQMQB1N,1A26D5AF1A3296CF,H238330,0.000011,0,0.000011,0.000011,0,0.000011,98.95,0,0,0,0,1.05,3,3,0,0,0.000011,0.000011,0,3,0,0,0
SELECT ENCODING_SCHEME INTO : H FROM SYSIBM . SYSTABLES WHERE NAME = 'SYSPACKAGE,1,1,QB1N,CQMPLN33,CQM@SETP,TS6394,4,CQMQB1N,1A26D5AF1A3296CF,H238330,0.000012,0,0.000012,0.000012,0,0.000012,99.34,0,0,0,0,0.66,3,3,0,0,0.000012,0.000012,0,3,0,0,0
SELECT ENCODING_SCHEME INTO : H FROM SYSIBM . SYSTABLES WHERE NAME = 'SYSDBRM' A,1,1,QB1N,CQMPLN33,CQM@SETP,TS6394,3,CQMQB1N,1A26D5AF1A3296CF,H238330,0.000015,0,0.000015,0.000014,0,0.000014,98.19,0,0,0,0,1.81,3,3,0,0,0.000014,0.000015,0,3,0,0,0
SELECT ENCODING_SCHEME INTO : H FROM SYSIBM . SYSTABLES WHERE NAME = 'SYSSTMT' A,1,1,QB1N,CQMPLN33,CQM@SETP,TS6394,2,CQMQB1N,1A26D5AF1A3296CF,H238330,0.000028,0,0.000028,0.000028,0.01,0.000028,99.58,0,0,0,0,0.42,3,3,0,0,0.000028,0.000028,0,3,0,0,0
SELECT ENCODING_SCHEME INTO : H FROM SYSIBM . SYSTABLES WHERE NAME = 'SYSPACKSTM,1,1,QB1N,CQMPLN33,CQM@SETP,TS6394,1,CQMQB1N,1A26D5AF1A3296CF,H238330,0.0005,0,0.0005,0.000237,0.05,0.000237,47.55,0.000262,0,0.000262,52.45,0,3,3,0,0,0.000237,0.0005,0.000262,3,0,0,0
"CALL PDWIES . CQR_STPXML ( : H , : H ) ",1,1,QB1N,ZQM0PLAN,ZCQRXML ,,1,ZQMCOLLID,0D7C4E6C09C5E240,,0.003488,0.01,0.003488,0.000485,0.11,0.000485,13.91,0,0,0,0,86.09,0,0,0,0,0.000485,0.003488,0,0,0,0,0
CQM145I - SQL TEXT NOT AVAILABLE                                                ,1,1,QB1N,ZQM0PLAN,CQR_STPXML,,1,PDWIES,197AEAF7047492C1,V1,0.003989,0.01,0.003989,0.000531,0.12,0.000531,13.32,0,0,0,0,86.68,0,0,0.000139,20.8,0.000531,0.003989,0,0,0,0,0
"INSERT INTO CQRTEST.XMLTAB(INT1,VARCH1,XMLDATA)                            VALUE",1,1,QB1N,ZQM0PLAN,CQR_STPXML,,3,PDWIES,197AEAF7047492C1,V1,0.041895,0.12,0.041895,0.000787,0.17,0.000787,1.88,0.041106,0.12,0.041106,98.12,0,30,30,0,0,0.000787,0.041895,0.041106,30,0,0,0
SELECT COUNT(*) INTO :H:H FROM CQRTEST.XMLTAB   ,1,1,QB1N,ZQM0PLAN,CQR_STPXML,,2,PDWIES,197AEAF7047492C1,V1,0.012518,0.03,0.012518,0.000378,0.08,0.000378,3.02,0.012139,0.03,0.012139,96.98,0,20,20,0,0,0.000378,0.012518,0.012139,20,0,0,0
DELETE FROM QATEST.BASE_TB,1,1,,,,SCHEMA2,0,,N/A,,0.001711,0,0.001711,0,0,0,0,0,0,0,0,100,43,43,0.00161,100,0,0.001711,0,43,0,0,0
DELETE FROM QATEST.TRG_AD_TB,1,1,QB1N,DISTSERV,TRIG_AD ,SCHEMA2,2,SCHEMA2,1AB0D457054234B2,,0.000463,0,0.000463,0,0,0,0,0.000239,0,0.000239,51.57,48.43,22,22,0.000204,100,0,0.000463,0.000239,22,0,0,0
UPDATE QATEST.BASE_TB SET COL_1 = 'TRIGGER TEST 1',1,1,,,,SCHEMA2,0,,N/A,,0.002133,0.01,0.002133,0,0,0,0,0,0,0,0,100,69,69,0.002068,100,0,0.002133,0,69,0,0,0
INSERT INTO QATEST.TRG_AU_TB(COL_1) VALUES ('TRIGGER AFTER UPDATE') ,1,1,QB1N,DISTSERV,TRIG_AU ,SCHEMA2,2,SCHEMA1,1AB0D45703B45830,,0.000286,0,0.000286,0,0,0,0,0.000142,0,0.000142,49.57,50.43,17,17,0.000153,100,0,0.000286,0.000142,17,0,0,0
SET N.COL_1 = 'TREIGGER TEST 3',1,1,QB1N,DISTSERV,TRIG_BU ,SCHEMA2,2,SCHEMA2,1AB0D45706C1FD48,,0.000757,0,0.000757,0,0,0,0,0.000717,0,0.000717,94.66,5.34,6,6,0.000035,100,0,0.000757,0.000717,6,0,0,0
WHEN (length(N.COL_1) > 12),1,1,QB1N,DISTSERV,TRIG_BU ,SCHEMA2,1,SCHEMA2,1AB0D45706C1FD48,,0.000891,0,0.000891,0,0,0,0,0.000647,0,0.000647,72.64,27.36,20,20,0.00023,100,0,0.000891,0.000647,20,0,0,0
INSERT INTO QATEST.BASE_TB VALUES('TRIGGER TEST'),1,1,,,,SCHEMA2,0,,N/A,,0.015192,0.04,0.015192,0.001479,0.32,0.001479,9.74,0,0,0,0,90.26,65,65,0,0,0.001479,0.015192,0,65,0,0,0
INSERT INTO QATEST.TRG_AI_TB(COL_1) VALUES ('TRIGGER AFTER INSERT') ,1,1,QB1N,DISTSERV,TRIG_AI ,SCHEMA2,2,SCHEMA1,1AB0D45702F6ACBC,,0.000198,0,0.000198,0.000084,0.02,0.000084,42.54,0.000114,0,0.000114,57.77,-0.3,17,17,0,0,0.000084,0.000198,0.000114,17,0,0,0
WHEN (length(N.COL_1) > 12),1,1,QB1N,DISTSERV,TRIG_BI ,SCHEMA2,1,SCHEMA2,1AB0D4570602CBB0,,0.000983,0,0.000983,0.000224,0.05,0.000224,22.87,0.000735,0,0.000735,74.81,2.32,20,20,0,0,0.000224,0.000983,0.000735,20,0,0,0
CREATE TRIGGER TRIG_BU NO CASCADE BEFORE UPDATE OF COL_1 ON QATEST.BASE_TB REFER,1,1,,,,SCHEMA2,0,,N/A,,0.000825,0,0.000825,0.00073,0.16,0.00073,88.51,0,0,0,0,11.49,8,8,0,0,0.00073,0.000825,0,8,0,0,0
CREATE TRIGGER TRIG_BI NO CASCADE BEFORE INSERT ON QATEST.BASE_TB REFERENCING NE,1,1,,,,SCHEMA2,0,,N/A,,0.000754,0,0.000754,0.000663,0.15,0.000663,87.94,0,0,0,0,12.06,8,8,0,0,0.000663,0.000754,0,8,0,0,0
CREATE TRIGGER TRIG_AD AFTER DELETE ON QATEST.BASE_TB FOR EACH ROW MODE DB2SQL B,1,1,,,,SCHEMA2,0,,N/A,,0.001006,0,0.001006,0.000951,0.21,0.000951,94.52,0,0,0,0,5.48,8,8,0,0,0.000951,0.001006,0,8,0,0,0
SET CURRENT SCHEMA = 'SCHEMA2',1,1,,,,SCHEMA1,0,,N/A,,0.000325,0,0.000325,0.000323,0.07,0.000323,99.41,0,0,0,0,0.59,0,0,0,0,0.000323,0.000325,0,0,0,0,0
CREATE TRIGGER TRIG_AU AFTER UPDATE OF COL_1 ON QATEST.BASE_TB REFERENCING NEW A,1,1,,,,SCHEMA1,0,,N/A,,0.000768,0,0.000768,0.000732,0.16,0.000732,95.3,0,0,0,0,4.7,8,8,0,0,0.000732,0.000768,0,8,0,0,0
CREATE TRIGGER TRIG_AI AFTER INSERT ON QATEST.BASE_TB REFERENCING NEW AS NEW FOR,1,1,,,,SCHEMA1,0,,N/A,,0.001031,0,0.001031,0.000988,0.22,0.000988,95.84,0,0,0,0,4.16,8,8,0,0,0.000988,0.001031,0,8,0,0,0
SET CURRENT SCHEMA = 'SCHEMA1',1,1,,,,TS6392A,0,,N/A,,0.000407,0,0.000407,0,0,0,0,0,0,0,0,100,0,0,0.000394,100,0,0.000407,0,0,0,0,0
CREATE TABLE QATEST.TRG_BU_TB (COL_1 VARCHAR(25) NOT NULL) IN QMTRIG.QMTRIGTS CC,1,1,,,,TS6392A,0,,N/A,,0.001111,0,0.001111,0,0,0,0,0.000333,0,0.000333,30.03,69.97,11,11,0.000763,100,0,0.001111,0.000333,11,0,0,0
CREATE TABLE QATEST.TRG_AD_TB (COL_1 VARCHAR(25) NOT NULL) IN QMTRIG.QMTRIGTS CC,1,1,,,,TS6392A,0,,N/A,,0.00113,0,0.00113,0,0,0,0,0.000259,0,0.000259,22.94,77.06,11,11,0.000856,100,0,0.00113,0.000259,11,0,0,0
CREATE TABLE QATEST.TRG_AU_TB (COL_1 VARCHAR(25) NOT NULL) IN QMTRIG.QMTRIGTS CC,1,1,,,,TS6392A,0,,N/A,,0.001225,0,0.001225,0,0,0,0,0.000335,0,0.000335,27.41,72.59,11,11,0.000868,100,0,0.001225,0.000335,11,0,0,0
CREATE TABLE QATEST.TRG_AI_TB (COL_1 VARCHAR(25) NOT NULL) IN QMTRIG.QMTRIGTS CC,1,1,,,,TS6392A,0,,N/A,,0.001096,0,0.001096,0,0,0,0,0.000264,0,0.000264,24.09,75.91,11,11,0.0008,100,0,0.001096,0.000264,11,0,0,0
CREATE TABLE QATEST.BASE_TB (COL_1 VARCHAR(20) NOT NULL) IN QMTRIG.QMTRIGTS CCSI,1,1,,,,TS6392A,0,,N/A,,0.00126,0,0.00126,0,0,0,0,0.000278,0,0.000278,22.12,77.88,11,11,0.000957,100,0,0.00126,0.000278,11,0,0,0
CREATE TABLESPACE QMTRIGTS IN QMTRIG USING STOGROUP SYSDEFLT PRIQTY 800 SECQTY 8,1,1,,,,TS6392A,0,,N/A,,0.00122,0,0.00122,0,0,0,0,0.000276,0,0.000276,22.66,77.34,18,18,0.000903,100,0,0.00122,0.000276,18,0,0,0
CREATE DATABASE QMTRIG,1,1,,,,TS6392A,0,,N/A,,0.001678,0,0.001678,0,0,0,0,0.000677,0,0.000677,40.38,59.62,24,24,0.000933,100,0,0.001678,0.000677,24,0,0,0
DROP DATABASE QMTRIG,1,1,,,,TS6392A,0,,N/A,,31.809019,87.85,31.809019,0,0,0,0,31.795799,89.68,31.795799,99.96,0.04,2875,2875,0.013712,100,0,31.80902,31.7958,2875,0,0,0
